Equity Name,Trade,Entry Time,Entry Price,Exit Time,Exit Price,Exit Type,Quantity,Position Size,PNL,% PNL,Holding Period
NVDA,Long,2023-03-16,24.03,2023-09-28,42.46,Complete,2080.992,50000,38352.681,76.705,196 days
NVDA,Long,2023-10-06,44.19,2023-10-23,41.23,Complete,1999.246,88352.681,-5919.767,-6.7,17 days
